"NAME,C,254","TYPE,C,254","LENGTH___F,N,19,6","WIDTH___FE,N,19,6","HEIGHT___F,N,19,6","FLOOR_SPAC,N,11,0","YEAR_BUILT,N,11,0","ROOF,C,254","ROOF_REPLA,N,11,0","ACCESSIBLE,C,254","AMENITIES,C,100","COMMENTS,C,254","MAX_PDOP,N,19,6","MAX_HDOP,N,19,6","CORR_TYPE,C,254","RCVR_TYPE,C,254","GPS_DATE,C,254","GPS_TIME,C,254","UPDATE_STA,C,254","FEAT_NAME,C,254","DATAFILE,C,254","UNFILT_POS,N,11,0","FILT_POS,N,11,0","DATA_DICTI,C,254","GPS_WEEK,N,11,0","GPS_SECOND,N,19,6","GPS_HEIGHT,N,19,6","VERT_PREC,N,19,6","HORZ_PREC,N,19,6","STD_DEV,N,19,6","LATITUDE,C,254","LONGITUDE,C,254","SOURCE,C,100","FMSS_ID,N,16,0","STATUS,C,100","X_COORD,N,19,5","Y_COORD,N,19,5","Join_Id,C,50","TRAIL_CLUB,C,100","Town,C,50","County,C,50","State,C,25","Elev_feet,N,10,3","Publish,C,4","Version,C,20"
Mount Wilcox North Lean-to,Log/Lumber,15.500000,12.500000,8.000000,191,0,Other,0,Unknown,Unknown,unknown roof material,15.100000,6.400000,Differential,Geo XT,07/14/04,11:44:05am,New,Shelter,R071408A_edited.cor,102,102,,1279,315858.000000,2001.262000,5.000000,2.700000,10.792496,42.221100466,-73.250659451,2004 Trail Assessment,95234,Official A.T. Shelter,-73.25065,42.22110,SH28,AMC - Berkshire Chapter,"MONTEREY, TOWN OF",BERKSHIRE,Massachusetts,1947.777,Yes,01/12/2015
Brassie Brook,Log,14.000000,8.600000,9.000000,120,1980,Asphault_shingle,0,Unknown,Unknown,,6.600000,2.700000,Differential,Geo XT,07/19/04,12:06:03pm,New,Shelter,R071908A_edited.cor,125,125,,1280,144376.000000,1766.691000,6.600000,3.700000,8.262444,42.028364134,-73.453816672,2004 Trail Assessment,95217,Official A.T. Shelter,-73.45381,42.02836,SH29,AMC - Connecticut Chapter,"SALISBURY, TOWN OF",LITCHFIELD,Connecticut,1729.256,Yes,01/12/2015
Hall Mountain Lean-to,Log,15.000000,10.000000,10.000000,80,0,Corregated_metal,0,No,Unknown,aluminum roof,11.500000,5.000000,Differential,Geo XT,07/24/04,12:33:33pm,New,Shelter,R072409A_edited.cor,52,52,,1280,578026.000000,2693.038000,12.700000,5.700000,18.304041,44.700836802,-70.825301295,2004 Trail Assessment; adjusted based on 2013 data,95227,Official A.T. Shelter,-70.82530,44.70084,SH30,Maine Appalachian Trail Club,,OXFORD,Maine,2629.888,Yes,01/12/2015
Little Bigelow Lean-to,Log,16.000000,13.000000,10.000000,95,0,Corregated_metal,0,No,Unknown,,20.000000,10.800000,Differential,Geo XT,07/25/04,10:40:11am,New,Shelter,R072509A_edited.cor,74,74,,1281,52824.000000,1820.522000,5.300000,3.400000,9.347783,45.139220826,-70.191743285,2004 Trail Assessment; adjusted based on 2013 data,95277,Official A.T. Shelter,-70.19174,45.13922,SH31,Maine Appalachian Trail Club,"DEAD RIVER, TOWN OF",SOMERSET,Maine,1778.231,Yes,01/12/2015
Wilson Valley Lean-to,Log,16.000000,10.000000,10.000000,93,1993,Corregated_metal,0,No,Unknown,,5.600000,4.700000,Differential,Geo XT,07/27/04,10:58:25am,New,Shelter,R072708A_edited.cor,35,35,,1281,226718.000000,1014.501000,4.800000,6.800000,7.182192,45.398784720,-69.459833173,2004 Trail Assessment; adjusted based on 2013 data,95257,Official A.T. Shelter,-69.45983,45.39878,SH32,Maine Appalachian Trail Club,"ELLIOTTSVILLE, TOWN OF",PISCATAQUIS,Maine,959.849,Yes,01/12/2015
Rainbow Stream Lean-to,Log,14.000000,11.000000,8.000000,88,0,Corregated_metal,0,No,Unknown,"fire pit w/ trash in it including tin foil, plenty of camping in open forest above shelter",6.200000,4.900000,Uncorrected,Geo XT,08/17/04,10:35:28am,New,Shelter2,R081709A.edited.SSF,133,133,ATversion11,1284,225342.000000,1034.841000,9.300000,6.000000,11.384468,45.799116186,-69.171055900,2004 Trail Assessment; adjusted based on 2013 data,95219,Official A.T. Shelter,-69.17105,45.79912,SH33,Maine Appalachian Trail Club,"RAINBOW, TOWN OF",PISCATAQUIS,Maine,1009.603,Yes,01/12/2015
Congdon,Log/Lumber,15.000000,30.000000,8.000000,400,1967,Corregated_steel,1995,No,Unknown,dh,4.400000,2.000000,Differential,Geo XT,08/10/04,11:45:30am,New,Shelter2,DAVE RT 9_edited.cor,92,92,ATversion11,1283,229544.000000,2119.306000,5.800000,3.200000,5.827475,42.848096134,-73.110427372,2004 Trail Assessment,95345,Official A.T. Shelter,-73.11042,42.84810,SH34,Green Mountain Club,"WOODFORD, TOWN OF",BENNINGTON,Vermont,2080.604,Yes,01/12/2015
Thistle Hill,Log,18.600000,10.800000,11.300000,157,1995,Corregated_metal,0,No,Unknown,fire pit in front of shelter with metal fire ring,5.000000,2.400000,Differential,Geo XT,08/05/04,09:00:42am,New,Shelter2,R080508A_edited.cor,43,43,ATversion11,1282,392456.000000,1741.439000,4.300000,2.900000,6.524136,43.695205587,-72.475829673,2004 Trail Assessment; 2013 Trail Assessment,95284,Official A.T. Shelter,-72.47582,43.69521,SH35,Green Mountain Club,"POMFRET, TOWN OF",WINDSOR,Vermont,1684.865,Yes,01/12/2015
Hog Back Ridge,Log/Lumber,16.750000,11.750000,10.000000,110,1984,Corregated_metal,0,No,Unknown,,3.500000,1.600000,Differential,Geo XT,03/23/04,02:06:33pm,New,Shelter_Inventory,R032312A_edited.cor,32,32,ATversion10,1263,238007.000000,4338.007000,3.200000,1.700000,2.343102,35.963986108,-82.587272809,2004 Trail Assessment,95272,Official A.T. Shelter,-82.58727,35.96399,SH36,Carolina Mountain Club,,MADISON,North Carolina,4261.811,Yes,01/12/2015
Moreland Gap,Cinder_Block,14.600000,9.500000,6.300000,105,1960,Corregated_metal,1980,Yes,Unknown,,6.500000,3.500000,Differential,Geo XT,04/05/04,01:58:07pm,New,Shelter_Inventory,R040513A_edited.cor,58,58,ATversion10,1265,151101.000000,3875.848000,4.100000,3.200000,11.025529,36.220061870,-82.088475717,2004 Trail Assessment,95424,Official A.T. Shelter,-82.08847,36.22006,SH37,Tennessee Eastman Hiking and Canoeing Club,,CARTER,Tennessee,3827.896,Yes,01/12/2015
Davenport Gap,Stone/Log,22.000000,18.000000,7.250000,128,1965,Other,1998,No,Unknown,"bench inside, tack storage area, benches  outside, fireplace inside, shakelike metal roof",6.300000,1.900000,Differential,Geo XT,04/07/04,03:05:07pm,New,Shelter_Inventory,R040715A_edited.cor,30,30,ATversion10,1265,327921.000000,2655.526000,5.300000,2.000000,2.480442,35.769189454,-83.123584336,2004 Trail Assessment,95437,Official A.T. Shelter,-83.12358,35.76919,SH38,Smoky Mountain Hiking Club,,COCKE,Tennessee,2560.786,Yes,01/12/2015
Hawk Mountain,Post_&_Beam,20.000000,18.000000,12.000000,300,0,Cedar_shingle,0,No,Unknown,,6.900000,3.100000,Differential,Geo XT,04/14/04,12:52:07pm,New,Shelter_Inventory,R041410B_edited.cor,31,31,ATversion10,1266,319941.000000,3202.869000,3.100000,2.000000,4.621852,34.665910493,-84.136402470,2004 Trail Assessment,95456,Official A.T. Shelter,-84.13640,34.66591,SH39,Georgia Appalachian Trail Club,,UNION,Georgia,3128.268,Yes,01/12/2015
Cherry Gap,Other,15.500000,10.000000,5.330000,112,1962,Corregated_metal,1974,No,Unknown,,7.300000,3.600000,Differential,Geo XT,04/19/04,01:40:49pm,New,Shelter_Inventory,R041912A_edited.cor,30,30,ATversion10,1267,150063.000000,3985.366000,4.500000,3.000000,4.785575,36.129149776,-82.264272495,2004 Trail Assessment,95429,Official A.T. Shelter,-82.26427,36.12915,SH40,Tennessee Eastman Hiking and Canoeing Club,,UNICOI,Tennessee,3972.801,Yes,01/12/2015
Mount Collins,Stone,21.750000,18.000000,7.500000,126,1960,Other,0,No,Unknown,,3.400000,2.000000,Differential,Geo XT,05/01/04,09:39:34am,New,Shelter_Inventory,R050109A_edited.cor,32,32,ATversion10,1268,567588.000000,5874.730000,2.200000,1.700000,0.824631,35.593923350,-83.471069745,2004 Trail Assessment,95438,Official A.T. Shelter,-83.47106,35.59392,SH41,Smoky Mountain Hiking Club,,SEVIER,Tennessee,5852.008,Yes,01/12/2015
Double Spring Gap,Stone,36.000000,27.000000,20.000000,350,2008,Corregated_steel,2008,No,Unknown,Remodeled 2007/2008,5.000000,1.700000,Differential,Geo XT,05/01/04,01:43:32pm,New,Shelter_Inventory,R050112A_edited.cor,38,38,ATversion10,1268,582225.000000,5626.550000,3.300000,1.600000,3.940755,35.565074978,-83.542729357,2004 Trail Assessment,95439,Official A.T. Shelter,-83.54272,35.56507,SH42,Smoky Mountain Hiking Club,,SEVIER,North Carolina,5496.283,Yes,01/12/2015
Cold Spring,Log,9.000000,12.500000,6.500000,115,1933,5V_steel,2012,No,Unknown,Old CCC shelter built in the 30s. Rehabbed in 2012. Metal firering added in 2012. Jacked up. Lowered floor.,7.700000,4.800000,Differential,Geo XT,05/03/04,10:38:03am,New,Shelter_Inventory,R050310A_edited.cor,30,30,ATversion10,1269,139096.000000,4991.190000,6.100000,2.700000,11.072346,35.230985111,-83.560078407,2004 Trail Assessment; 2013 Trail Assessment,95195,Official A.T. Shelter,-83.56007,35.23098,SH43,Nantahala Hiking Club,,MACON,North Carolina,4923.130,Yes,01/12/2015
Rock Gap,Stick_w/ply_siding,9.000000,13.330000,7.000000,100,1965,Corregated_metal,0,Yes,Unknown,,6.600000,3.200000,Differential,Geo XT,05/04/04,02:10:24pm,New,Shelter_Inventory,R050412A_edited.cor,30,30,ATversion10,1269,238238.000000,3860.830000,5.900000,2.900000,6.832530,35.091479911,-83.523148188,2004 Trail Assessment,95446,Official A.T. Shelter,-83.52314,35.09148,SH44,Nantahala Hiking Club,,MACON,North Carolina,3793.567,Yes,01/12/2015
Groundhog Creek,Stone,10.250000,17.000000,5.750000,99,1939,Corregated_metal,0,No,Unknown,,6.100000,2.300000,Differential,Geo XT,05/05/04,11:28:32am,New,Shelter_Inventory,R050510A_edited.cor,6,6,ATversion10,1269,314925.000000,3200.849000,5.700000,2.500000,1.487203,35.781741795,-83.026452101,2004 Trail Assessment,95434,Official A.T. Shelter,-83.02645,35.78174,SH45,Carolina Mountain Club,,HAYWOOD,North Carolina,2833.245,Yes,01/12/2015
Brown Fork Gap,Log,18.000000,20.000000,11.000000,130,1992,Cedar_shingle,1992,No,Unknown,oak shake & interlayed tarpaper,5.200000,1.900000,Differential,Geo XT,05/21/04,12:17:14pm,New,Shelter_Inventory,R052109A_edited.cor,32,32,ATversion10,1271,490648.000000,3813.505000,4.800000,1.800000,0.847878,35.374168306,-83.734020732,2004 Trail Assessment,95311,Official A.T. Shelter,-83.73402,35.37417,SH46,Smoky Mountain Hiking Club,,GRAHAM,North Carolina,3758.171,Yes,01/12/2015
Walnut Mountain,Log,20.000000,20.000000,10.000000,400,1938,Corregated_metal,2009,Yes,Unknown,Evaluated in 2012,8.000000,4.300000,Differential,Geo XT,05/25/04,11:11:03am,New,Shelter_Inventory,R052510A_edited.cor,60,60,ATversion10,1272,227477.000000,4297.116000,3.900000,2.500000,15.458580,35.836407740,-82.936629567,2004 Trail Assessment,95276,Official A.T. Shelter,-82.93662,35.83641,SH47,Carolina Mountain Club,,COCKE,Tennessee,4245.483,Yes,01/12/2015
No Business Knob,Other,18.000000,15.000000,7.500000,84,1960,Corregated_metal,1996,No,Unknown,repaired in ninety six,8.800000,4.400000,Differential,Geo XT,06/02/04,11:32:04am,New,Shelter_Inventory,R060209A_edited.cor,106,106,ATversion10,1273,315138.000000,3248.620000,5.500000,2.400000,8.434053,36.066531465,-82.433800696,2004 Trail Assessment,95431,Official A.T. Shelter,-82.43380,36.06653,SH48,Tennessee Eastman Hiking and Canoeing Club,,UNICOI,Tennessee,3171.961,Yes,01/12/2015
